offer_id,competitor_id,offer_type,offer_name,class_type,heat,class_length_min,sessions_included,duration_days,price_eur,price_unit,currency,auto_renew,contract_months,booking_limit,intro_restrictions,usage_limit_type,usage_limit_value,usage_limit_period,contract_type,cancellation_notice_days,class_style,intensity_level,source_url,last_checked_date
curated-001,comp-hot-flow,drop_in,Single Class,hot_yoga,hot,60,1,,20,class,EUR,,,,,,,,,,,vinyasa_flow,moderate,https://hotflowyoga.nl/pricing,2026-02-02
curated-002,comp-hot-flow,pack,10-Class Card,hot_yoga,hot,60,10,365,165,,EUR,,,,,,,,,,,vinyasa_flow,moderate,https://hotflowyoga.nl/pricing,2026-02-02
curated-003,comp-hot-flow,membership,Weekly Unlimited,hot_yoga,hot,60,,7,44,week,EUR,,,,,unlimited,,,month_to_month,0,vinyasa_flow,moderate,https://hotflowyoga.nl/pricing,2026-02-02
curated-004,comp-hot-flow,membership,Student Monthly Unlimited,hot_yoga,hot,60,,28,99,month,EUR,,,,,unlimited,,,month_to_month,0,vinyasa_flow,moderate,https://hotflowyoga.nl/pricing,2026-02-02
curated-005,comp-hot-flow,membership,1 Year Unlimited,hot_yoga,hot,60,,365,1150,year,EUR,,,,,unlimited,,,annual,30,vinyasa_flow,moderate,https://hotflowyoga.nl/pricing,2026-02-02
curated-006,comp-club-yogi,membership,Monthly Unlimited,hot_yoga,hot,60,,28,88,month,EUR,,6,,,unlimited,,,6_month,30,vinyasa_flow,high,https://clubhotyogi.com/pricing,2026-02-02
curated-007,comp-club-yogi,membership,Monthly 8 Classes,hot_yoga,hot,60,8,28,59,month,EUR,,6,,,classes_per_month,8,month,6_month,30,vinyasa_flow,moderate,https://clubhotyogi.com/pricing,2026-02-02
curated-008,comp-balanzs-ams,intro,7 Days Free Trial,hot_yoga,hot,60,,7,0,,EUR,,,new_clients_only,,unlimited,,,trial,0,vinyasa_flow,moderate,https://balanzs.nl/pricing,2026-02-02
curated-009,comp-balanzs-ams,intro,Tourist Pack,hot_yoga,hot,60,,7,49,,EUR,,,tourists_only,,unlimited,,,intro,0,vinyasa_flow,moderate,https://balanzs.nl/pricing,2026-02-02
curated-010,comp-balanzs-ams,pack,10-Lesson Card,hot_yoga,hot,60,10,365,119.50,,EUR,,,,,,,,,,,vinyasa_flow,moderate,https://balanzs.nl/pricing,2026-02-02
