offer_id,competitor_id,offer_type,offer_name,class_type,heat,class_length_min,sessions_included,duration_days,price_eur,currency,auto_renew,contract_months,booking_limit,intro_restrictions,source_url,last_checked_date
offer-001,our-studio,drop_in,Drop-in,vinyasa,none,60,,30,22,EUR,,,,,,
offer-002,our-studio,pack,5-class pack,vinyasa,none,60,5,180,95,EUR,,,,,,
offer-003,our-studio,membership,Unlimited,vinyasa,none,60,,30,130,EUR,yes,1,,,,
offer-003b,our-studio,intro,Intro week,yoga,none,60,,7,19,EUR,,,,,,
offer-003c,our-studio,pack,10-class pack,yoga,none,60,10,180,180,EUR,,,,,,
offer-004,comp-001,membership,Unlimited / month,hot_yoga,hot,60,,30,149,EUR,yes,1,,,,
offer-004b,comp-001,drop_in,Drop-in,hot_yoga,hot,60,,30,25,EUR,,,,,,
offer-004c,comp-001,pack,10-class pack,hot_yoga,hot,60,10,180,200,EUR,,,,,,
offer-005,comp-002,membership,Yoga + Gym / month,yoga,none,60,,30,34.99,EUR,yes,1,,,,
offer-005b,comp-002,drop_in,Drop-in,yoga,none,60,,30,12.5,EUR,,,,,,
offer-006,comp-003,drop_in,Drop-in,vinyasa,none,60,,30,20,EUR,,,,,,
offer-006b,comp-003,pack,5-class pack,vinyasa,none,60,5,120,90,EUR,,,,,,
offer-006c,comp-003,intro,Intro 2 weeks,vinyasa,none,60,,14,29,EUR,,,,,,
offer-007,comp-004,pack,10-class pack,hot_yoga,hot,60,10,180,150,EUR,,,,,,
offer-007b,comp-004,drop_in,Drop-in,hot_yoga,hot,60,,30,23,EUR,,,,,,
offer-007c,comp-004,membership,Unlimited / month,hot_yoga,hot,60,,30,129,EUR,yes,1,,,,
offer-008,comp-005,intro,Intro 2 weeks,yin,none,60,,14,25,EUR,,,,,,
offer-008b,comp-005,drop_in,Drop-in,yin,none,60,,30,21,EUR,,,,,,
offer-008c,comp-005,pack,10-class pack,yin,none,60,10,180,160,EUR,,,,,,
offer-009,comp-006,pack,5-class pack,vinyasa,none,60,5,180,90,EUR,,,,,,
offer-009b,comp-006,drop_in,Drop-in,vinyasa,none,60,,30,19,EUR,,,,,,
offer-010,comp-007,drop_in,Drop-in,yin,none,60,,30,18,EUR,,,,,,
offer-010b,comp-007,pack,10-class pack,yin,none,60,10,180,150,EUR,,,,,,
offer-011,comp-008,membership,Unlimited / month,yoga,none,60,,30,120,EUR,yes,1,,,,
offer-011b,comp-008,drop_in,Drop-in,yoga,none,60,,30,20,EUR,,,,,,
offer-012,comp-009,intro,Intro week,hot_yoga,hot,60,,7,19,EUR,,,,,,
offer-012b,comp-009,drop_in,Drop-in,hot_yoga,hot,60,,30,24,EUR,,,,,,
offer-013,comp-010,pack,10-class pack,vinyasa,none,60,10,180,170,EUR,,,,,,
offer-013b,comp-010,drop_in,Drop-in,vinyasa,none,60,,30,22,EUR,,,,,,
offer-014,comp-011,drop_in,Drop-in,pilates,none,50,,30,22,EUR,,,,,,
offer-014b,comp-011,pack,10-class pack,pilates,none,50,10,180,180,EUR,,,,,,
offer-015,comp-012,pack,Class pack 8,barre,none,50,8,120,130,EUR,,,,,,
offer-015b,comp-012,drop_in,Drop-in,barre,none,50,,30,20,EUR,,,,,,
offer-016,comp-013,drop_in,Drop-in,vinyasa,none,60,,30,21,EUR,,,,,,
offer-016b,comp-013,pack,10-class pack,vinyasa,none,60,10,180,165,EUR,,,,,,
offer-017,comp-014,membership,Monthly 8 classes,ashtanga,none,60,8,30,99,EUR,yes,1,,,,
offer-017b,comp-014,drop_in,Drop-in,ashtanga,none,60,,30,23,EUR,,,,,,
offer-018,comp-015,drop_in,Drop-in,yin,none,60,,30,19,EUR,,,,,,
offer-018b,comp-015,pack,5-class pack,yin,none,60,5,120,80,EUR,,,,,,
offer-019,comp-016,membership,Unlimited / month,yoga,none,60,,30,115,EUR,yes,1,,,,
offer-019b,comp-016,drop_in,Drop-in,yoga,none,60,,30,21,EUR,,,,,,
offer-020,comp-017,pack,10-class pack,fitness,none,45,10,180,155,EUR,,,,,,
offer-020b,comp-017,drop_in,Drop-in,fitness,none,45,,30,18,EUR,,,,,,
offer-021,comp-018,drop_in,Drop-in,yoga,none,60,,30,23,EUR,,,,,,
offer-021b,comp-018,pack,10-class pack,yoga,none,60,10,180,175,EUR,,,,,,
offer-022,comp-019,intro,Intro 2 weeks,yoga,none,60,,14,29,EUR,,,,,,
offer-022b,comp-019,drop_in,Drop-in,yoga,none,60,,30,22,EUR,,,,,,
offer-023,comp-020,drop_in,Hot yoga drop-in,hot_yoga,hot,60,,30,24,EUR,,,,,,
offer-023b,comp-020,membership,Unlimited / month,hot_yoga,hot,60,,30,135,EUR,yes,1,,,,
offer-024,comp-021,pack,10-class pack,vinyasa,none,60,10,180,160,EUR,,,,,,
offer-024b,comp-021,drop_in,Drop-in,vinyasa,none,60,,30,20,EUR,,,,,,
offer-025,comp-022,drop_in,Drop-in,yoga,none,60,,30,18,EUR,,,,,,
offer-025b,comp-022,membership,Unlimited / month,yoga,none,60,,30,109,EUR,yes,1,,,,
offer-026,comp-023,membership,Unlimited / month,hot_yoga,hot,60,,30,135,EUR,yes,1,,,,
offer-026b,comp-023,drop_in,Drop-in,hot_yoga,hot,60,,30,26,EUR,,,,,,
offer-027,comp-024,pack,5-class pack,yin,none,60,5,120,75,EUR,,,,,,
offer-027b,comp-024,drop_in,Drop-in,yin,none,60,,30,17,EUR,,,,,,
offer-028,comp-025,drop_in,Drop-in,pilates,none,50,,30,20,EUR,,,,,,
offer-028b,comp-025,pack,10-class pack,pilates,none,50,10,180,170,EUR,,,,,,
offer-029,comp-026,pack,10-class pack,barre,none,50,10,180,165,EUR,,,,,,
offer-029b,comp-026,drop_in,Drop-in,barre,none,50,,30,21,EUR,,,,,,
offer-030,comp-027,membership,Unlimited / month,yoga,none,60,,30,110,EUR,yes,1,,,,
offer-030b,comp-027,drop_in,Drop-in,yoga,none,60,,30,19,EUR,,,,,,
offer-031,comp-028,drop_in,Drop-in,vinyasa,none,60,,30,19,EUR,,,,,,
offer-031b,comp-028,pack,10-class pack,vinyasa,none,60,10,180,150,EUR,,,,,,
offer-032,comp-029,intro,Intro week,yoga,none,60,,7,15,EUR,,,,,,
offer-032b,comp-029,drop_in,Drop-in,yoga,none,60,,30,20,EUR,,,,,,
offer-033,comp-030,pack,10-class pack,yoga,none,60,10,180,140,EUR,,,,,,
offer-033b,comp-030,drop_in,Drop-in,yoga,none,60,,30,18,EUR,,,,,,
