studio,tier,offer,price
Saints & Stars,Tier 3,Unlimited / month,€149
SportCity,Tier 3,Yoga + Gym / month,€34.99
YogaWorks De Pijp,Tier 1,Drop-in,€20
Hot Flow Studio,Tier 2,10-class pack,€150
Urban Zen,Tier 2,Intro 2 weeks,€25
Studio Flow,Tier 1,5-class pack,€90
Yin House,Tier 2,Drop-in,€18
Balance Loft,Tier 2,Unlimited / month,€120
Flow & Fire,Tier 1,Intro week,€19
Lotus Dock,Tier 3,10-class pack,€170
Pilates Loft,Tier 2,Drop-in,€22
Barre Bridge,Tier 2,Class pack 8,€130
Vinyasa Room,Tier 1,Drop-in,€21
Ashtanga Deck,Tier 2,Monthly 8 classes,€99
Yin & Tonic,Tier 2,Drop-in,€19
Wave Studio,Tier 2,Unlimited / month,€115
Core Garden,Tier 2,10-class pack,€155
Harbor Yoga,Tier 3,Drop-in,€23
Sundown Studio,Tier 3,Intro 2 weeks,€29
Glow Lab,Tier 2,Hot yoga drop-in,€24
