query,rank,website,title,snippet,price_snippets,class_keywords,offer_keywords,postcode_guess,phone_guess
Movement's Yoga Amsterdam pricing,1,https://duckduckgo.com/y.js?ad_domain=sportcity.nl&ad_provider=bingv7aa&ad_type=txad&click_metadata=TLMqE2py6gqpVeTqwRShJ4KSI4I2orUMKw75QZyBR1ilUeGcmh68kNLhCQON4Qn0Q6_W%2DUoze749TPukuUbUY3wKO8rxlNHHb2vNdMOzFOmBt9qo73USBAYLoBZC63FQbncIDdwO06MDCwJnzDoISUV0zJ4sCsQmSzSTqzoul6c.QfA6lbGznFAUTA36p6qbRQ&rut=f4ce6ab42f49185962744f7770aeb74e0b15cb91dad0bd73a9c67612b045ee53&u3=https%3A%2F%2Fwww.bing.com%2Faclick%3Fld%3De8UrL3mUPthb59sCvvlkTo2jVUCUwpqEbDPmA13g9MIwgTylBBMr4qo6cLMlw8QSthPQjR4EdLih_FNMP5316sy4bKQlKb3ThEtS1JyrBpKXf2fd7xtBa9kaMK9neuzaMORK3qYVfbfYENItT77qols%2DQ_JScVWOlN_jXhFDFNiTTzENson49rrjMPjb_%2DDT%2D3F3WJptDNXyVjtqDheMqvh4ybvFE%26u%3DaHR0cHMlM2ElMmYlMmZ3d3cuc3BvcnRjaXR5Lm5sJTJmYW1zdGVyZGFtJTNmdXRtX3NvdXJjZSUzZGJpbmclMjZ1dG1fbWVkaXVtJTNkY3BjJTI2dXRtX2NhbXBhaWduJTNkTkwlMmZOTF9DSEFfTkJfQ2l0eV9JbnRlbnRfQW1zdGVyZGFtJTI2dXRtX3Rlcm0lM2R5b2dhJTI1MjBhbXN0ZXJkYW0lMjZtc2Nsa2lkJTNkMGNmZGE2NjE2OTk2MTVkMThmYjRjZjBkYThlZDk2ODQ%26rlid%3D0cfda661699615d18fb4cf0da8ed9684&vqd=4-130294949232929220358072066337104333987&iurl=%7B1%7DIG%3D0A89538AF15A4F3EB8A146C7A9755A8F%26CID%3D09504A50F2B96BC72FB55CB5F3B76A21%26ID%3DDevEx%2C5047.1,Yoga in Amsterdam | Start nu je winterlidmaatschap,Start nu je 3-maanden winterlidmaatschap bij SportCity. Tijdelijk geen inschrijfgeld. Benieuwd of yoga wat voor je is? Kom dan langs bij SportCity Amsterdam .,€ 29 | € 30 | € 119,vinyasa | hatha | yin | pilates | fitness,membership,,0046311-1004
Movement's Yoga Amsterdam pricing,2,https://movementsyoga.com/pricing/,Hot Yoga and Pilates Class Prices | Movements,Check out our hot yoga and pilates class prices and memberships available at Movements Studios - premium hot yoga & pilates in Amsterdam and Haarlem.,"€ 59,00 | €35 | € 129,00 | € 109,00 | €20 | € 199,00 | €10,00 | € 49,00 | €10 | € 25,00",hot yoga | pilates,single class | intro | trial | membership | unlimited | 10 class | 5 class,,
Movement's Yoga Amsterdam pricing,3,https://classpass.com/studios/movements-vondelpark-amsterdam,Movements - Vondelpark: Read Reviews and Book Classes on ClassPass,"Movements is the first Amsterdam Hot Yoga and Hot Pilates studio. A close-knit team of yoga teachers is ready to give you the best lessons in the city's finest boutique studio. Movements is the studio where they know you by your name and where you immediately feel at home. More than 70 lessons are taught weekly, all heated from 30 to 38 degrees Celsius, including their signature classes: Hot C ...",€59 | €59.00 | €0.00 | €0,hot yoga | vinyasa | hatha | yin | power yoga | pilates | barre | fitness,intro | trial | membership | bundle,1054 HZ,0769261532
Movement's Yoga Amsterdam pricing,4,https://hotyogafinder.com/nl/amsterdam/movements-yoga,Movements Yoga - Hot Yoga Studios in Amsterdam,"Extensive community collection of Bikram and hot yoga studios near you. Compare prices, amenities, and genuine user reviews to effortlessly secure your next Bikram or heated yoga class.",€5,hot yoga | bikram | vinyasa | hatha | yin | power yoga | pilates | fitness,drop-in | intro | trial | membership | unlimited | class pack,1054 HZ,017455-8796
Movement's Yoga Amsterdam pricing,5,https://www.movementamsterdam.com/classes,Classes | Join the Movement Today — Movement Amsterdam,Explore diverse movement classes and workshops at Movement Amsterdam to enhance your practice and flexibility. Join now for unlimited access and tailored session options.,,vinyasa | hatha | yin,unlimited,,09208952
Movement's Yoga Amsterdam pricing,6,https://urbansportsclub.com/nl/venues/movements-city,Movements City - Urban Sports Club,"Our central Amsterdam studio features bamboo floors, mirrors, and a unique heating system. The inviting space is heated to 40°C, enhancing your practice. Enjoy a variety of Hot classes to achieve your balance of strength & flexibility. Choose from Hot Yoga and Hot Pilates classes taught by the best teachers of Amsterdam . Movements City is het stadse zusje van Movements Vondelpark. Ook deze ...",€ 18.01,hot yoga | yin | pilates | barre | fitness,intro | membership,1017WB,
Movement's Yoga Amsterdam pricing,7,https://movementsyoga.com/our-classes/hot-yoga/,Hot Yoga Classes Haarlem + Amsterdam | Movements,Our hot yoga classes are open to all levels. Come practice in a studio heated up to 40 degrees Celsuis.,,hot yoga | vinyasa | hatha | yin | pilates,,,
Movement's Yoga Amsterdam pricing,8,https://movementsyoga.com/,Movements Yoga | Hot Yoga + Hot Pilates Haarlem + Amsterdam,Movements yoga studios offers a variety of hot yoga and hot pilates classes for all abilities in Amsterdam and Haarlem,,hot yoga | pilates | fitness,,,000000 100
Movement's Yoga Amsterdam pricing,9,https://classpass.com/studios/movements-city-amsterdam,Movements - City: Read Reviews and Book Classes on ClassPass,"Movements is the first Amsterdam Hot Yoga and Pilates studio. A close-knit team of yoga teachers is ready to give you the best lessons in the city's finest boutique studio. Movements is the studio where they know you by your name and where you immediately feel at home. Various class styles are taught weekly, all heated from 30 to 38 degrees Celsius, including their signature classes: Hot C 60 ...",€59 | €59.00 | €0.00 | €0,hot yoga | vinyasa | hatha | yin | ashtanga | kundalini | power yoga | pilates | barre | fitness,intro | trial | membership | bundle,2596 EE,0769261532
Movement's Yoga Amsterdam pricing,10,https://movementsyoga.com/our-locations/city/,Hot Yoga Amsterdam | Movements Amsterdam City,"Movements Amsterdam City offers a range of hot yoga and hot mat Pilates classes heated up to 40c to support, deepen and intensify your practice.",,hot yoga | pilates,,1017 WB,
